"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:55:17 CST 2024","Tue Jun 11 13:55:27 CST 2024","10137","test_cases.step_defs.bms","test_15_doc_finger","","","","新增文件指纹规则","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_finger.feature: 新增文件指纹规则"
"passed","Tue Jun 11 13:47:00 CST 2024","Tue Jun 11 13:47:17 CST 2024","17637","test_cases.step_defs.bms","test_02_user_group","","","","组织机构树-机构名称字符超长检查","E:\Wondersoft_WebUITest\test_cases\features\bms\user_group.feature: 组织机构树-机构名称字符超长检查"
"passed","Tue Jun 11 13:50:11 CST 2024","Tue Jun 11 13:50:21 CST 2024","10227","test_cases.step_defs.bms","test_06_access_strategy","","","","删除限制","E:\Wondersoft_WebUITest\test_cases\features\bms\access_strategy.feature: 删除限制"
"passed","Tue Jun 11 13:52:30 CST 2024","Tue Jun 11 13:52:40 CST 2024","9407","test_cases.step_defs.bms","test_10_log_backup","","","","日志备份配置-存储方式-本地、FTP、SMB（定时备份）","E:\Wondersoft_WebUITest\test_cases\features\bms\log_backup.feature: 日志备份配置-存储方式-本地、FTP、SMB（定时备份）"
"passed","Tue Jun 11 13:50:43 CST 2024","Tue Jun 11 13:51:01 CST 2024","17852","test_cases.step_defs.bms","test_07_user_admin","","","","删除管理员","E:\Wondersoft_WebUITest\test_cases\features\bms\user_admin.feature: 删除管理员"
"passed","Tue Jun 11 13:44:49 CST 2024","Tue Jun 11 13:45:15 CST 2024","26146","test_cases.step_defs.bms","test_01_user_sync","","","","配置数据源","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 配置数据源"
"passed","Tue Jun 11 13:45:34 CST 2024","Tue Jun 11 13:46:03 CST 2024","28750","test_cases.step_defs.bms","test_01_user_sync","","","","用户同步-数据源配置-新增-LDAP域-账户统一后缀、组织统一后缀","E:\Wondersoft_WebUITest\test_cases\features\bms\user_sync.feature: 用户同步-数据源配置-新增-LDAP域-账户统一后缀、组织统一后缀"
"broken","Tue Jun 11 13:56:48 CST 2024","Tue Jun 11 13:57:24 CST 2024","35941","test_cases.step_defs.bms","test_17_doc_attribute_rules","","","","删除文件属性规则","E:\Wondersoft_WebUITest\test_cases\features\bms\doc_attribute_rules.feature: 删除文件属性规则"
"passed","Tue Jun 11 13:50:36 CST 2024","Tue Jun 11 13:50:43 CST 2024","6567","test_cases.step_defs.bms","test_07_user_admin","","","","管理员列表查询","E:\Wondersoft_WebUITest\test_cases\features\bms\user_admin.feature: 管理员列表查询"
"broken","Tue Jun 11 13:59:35 CST 2024","Tue Jun 11 14:00:12 CST 2024","37036","test_cases.step_defs.bms","test_21_report_cycle_config","","","","新增快速报告","E:\Wondersoft_WebUITest\test_cases\features\bms\report_cycle_config.feature: 新增快速报告"
